experiment_id	chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
0	chr2	48886252	48886271	-	53.7	<<	0	0	90
1	chr12	35192359	35192378	-	53.66	<<	0	0	90
2	chr8	102781112	102781131	-	53.5	<<	0	0	90
3	chr5	49961991	49962010	-	53.3	<<	0	0	90
4	chr9	26776356	26776375	-	53.12	<<	0	0	90
5	chr9	51152589	51152608	-	53.06	<<	0	0	90
6	chr8	58566264	58566283	+	52.88	<<	0	0	90
7	chr12	40837731	40837750	+	52.84	<<	0	0	90
8	chr6	101261721	101261740	-	52.5	<<	0	0	90
9	chr8	36523116	36523135	-	52.5	<<	0	0	90
10	chr8	45342919	45342938	+	0.05832	<<	0	0	90
11	chr2	27771666	27771685	-	0.05875	<<	0	0	90
12	chr9	51333610	51333629	-	0.05902	<<	0	0	90
13	chr1	35713888	35713907	+	0.05902	<<	0	0	90
14	chr11	57783694	57783713	-	0.06	<<	0	0	90
15	chr6	94057464	94057483	+	0.06033	<<	0	0	90
16	chr16	23157002	23157021	-	0.0607	<<	0	0	90
17	chr11	102262359	102262378	-	0.06146	<<	0	0	90
18	chr9	71627181	71627200	+	0.06238	<<	0	0	90
19	chr13	109771756	109771775	+	0.063	<<	0	0	90
20	chr2	48886252	48886271	-	53.7	<<	1	0	90
21	chr12	35192359	35192378	-	53.66	<<	1	0	90
22	chr8	102781112	102781131	-	53.5	<<	1	0	90
23	chr5	49961991	49962010	-	53.3	<<	1	0	90
24	chr9	26776356	26776375	-	53.12	<<	1	0	90
25	chr9	51152589	51152608	-	53.06	<<	1	0	90
26	chr8	58566264	58566283	+	52.88	<<	1	0	90
27	chr12	40837731	40837750	+	52.84	<<	1	0	90
28	chr6	101261721	101261740	-	52.5	<<	1	0	90
29	chr8	36523116	36523135	-	52.5	<<	1	0	90
30	chr8	45342919	45342938	+	0.05832	<<	1	0	90
31	chr2	27771666	27771685	-	0.05875	<<	1	0	90
32	chr9	51333610	51333629	-	0.05902	<<	1	0	90
33	chr1	35713888	35713907	+	0.05902	<<	1	0	90
34	chr11	57783694	57783713	-	0.06	<<	1	0	90
35	chr6	94057464	94057483	+	0.06033	<<	1	0	90
36	chr16	23157002	23157021	-	0.0607	<<	1	0	90
37	chr11	102262359	102262378	-	0.06146	<<	1	0	90
38	chr9	71627181	71627200	+	0.06238	<<	1	0	90
39	chr13	109771756	109771775	+	0.063	<<	1	0	90
40	chr2	48886252	48886271	-	53.7	<<	2	0	90
41	chr12	35192359	35192378	-	53.66	<<	2	0	90
42	chr8	102781112	102781131	-	53.5	<<	2	0	90
43	chr5	49961991	49962010	-	53.3	<<	2	0	90
44	chr9	26776356	26776375	-	53.12	<<	2	0	90
45	chr9	51152589	51152608	-	53.06	<<	2	0	90
46	chr8	58566264	58566283	+	52.88	<<	2	0	90
47	chr12	40837731	40837750	+	52.84	<<	2	0	90
48	chr6	101261721	101261740	-	52.5	<<	2	0	90
49	chr8	36523116	36523135	-	52.5	<<	2	0	90
50	chr8	45342919	45342938	+	0.05832	<<	2	0	90
51	chr2	27771666	27771685	-	0.05875	<<	2	0	90
52	chr9	51333610	51333629	-	0.05902	<<	2	0	90
53	chr1	35713888	35713907	+	0.05902	<<	2	0	90
54	chr11	57783694	57783713	-	0.06	<<	2	0	90
55	chr6	94057464	94057483	+	0.06033	<<	2	0	90
56	chr16	23157002	23157021	-	0.0607	<<	2	0	90
57	chr11	102262359	102262378	-	0.06146	<<	2	0	90
58	chr9	71627181	71627200	+	0.06238	<<	2	0	90
59	chr13	109771756	109771775	+	0.063	<<	2	0	90
60	chr2	48886252	48886271	-	53.7	<<	3	0	90
61	chr12	35192359	35192378	-	53.66	<<	3	0	90
62	chr8	102781112	102781131	-	53.5	<<	3	0	90
63	chr5	49961991	49962010	-	53.3	<<	3	0	90
64	chr9	26776356	26776375	-	53.12	<<	3	0	90
65	chr9	51152589	51152608	-	53.06	<<	3	0	90
66	chr8	58566264	58566283	+	52.88	<<	3	0	90
67	chr12	40837731	40837750	+	52.84	<<	3	0	90
68	chr6	101261721	101261740	-	52.5	<<	3	0	90
69	chr8	36523116	36523135	-	52.5	<<	3	0	90
70	chr8	45342919	45342938	+	0.05832	<<	3	0	90
71	chr2	27771666	27771685	-	0.05875	<<	3	0	90
72	chr9	51333610	51333629	-	0.05902	<<	3	0	90
73	chr1	35713888	35713907	+	0.05902	<<	3	0	90
74	chr11	57783694	57783713	-	0.06	<<	3	0	90
75	chr6	94057464	94057483	+	0.06033	<<	3	0	90
76	chr16	23157002	23157021	-	0.0607	<<	3	0	90
77	chr11	102262359	102262378	-	0.06146	<<	3	0	90
78	chr9	71627181	71627200	+	0.06238	<<	3	0	90
79	chr13	109771756	109771775	+	0.063	<<	3	0	90
80	chr2	48886252	48886271	-	53.7	<<	4	0	90
81	chr12	35192359	35192378	-	53.66	<<	4	0	90
82	chr8	102781112	102781131	-	53.5	<<	4	0	90
83	chr5	49961991	49962010	-	53.3	<<	4	0	90
84	chr9	26776356	26776375	-	53.12	<<	4	0	90
