experiment_id	chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
0	chr12	35192361	35192380	+	53.78	>>	1	20	0
1	chr2	48886252	48886271	-	53.7	>>	1	20	0
2	chr12	35192359	35192378	-	53.66	>>	1	20	0
3	chr8	102781112	102781131	-	53.5	>>	1	20	0
4	chr5	49961991	49962010	-	53.3	>>	1	20	0
5	chr9	26776356	26776375	-	53.12	>>	1	20	0
6	chr9	51152589	51152608	-	53.06	>>	1	20	0
7	chr8	58566264	58566283	+	52.88	>>	1	20	0
8	chr12	40837731	40837750	+	52.84	>>	1	20	0
9	chr8	36523116	36523135	-	52.5	>>	1	20	0
10	chr2	27771666	27771685	-	0.05875	>>	1	20	0
11	chr9	51333610	51333629	-	0.05902	>>	1	20	0
12	chr1	35713888	35713907	+	0.05902	>>	1	20	0
13	chr11	57783694	57783713	-	0.06	>>	1	20	0
14	chr6	94057464	94057483	+	0.06033	>>	1	20	0
15	chr16	23157002	23157021	-	0.0607	>>	1	20	0
16	chr11	102262359	102262378	-	0.06146	>>	1	20	0
17	chr9	71627181	71627200	+	0.06238	>>	1	20	0
18	chr13	109771756	109771775	+	0.063	>>	1	20	0
19	chr11	32340269	32340288	+	0.06323	>>	1	20	0
20	chr12	35192361	35192380	+	53.78	>>	2	20	0
21	chr2	48886252	48886271	-	53.7	>>	2	20	0
22	chr12	35192359	35192378	-	53.66	>>	2	20	0
23	chr8	102781112	102781131	-	53.5	>>	2	20	0
24	chr5	49961991	49962010	-	53.3	>>	2	20	0
25	chr9	26776356	26776375	-	53.12	>>	2	20	0
26	chr9	51152589	51152608	-	53.06	>>	2	20	0
27	chr8	58566264	58566283	+	52.88	>>	2	20	0
28	chr12	40837731	40837750	+	52.84	>>	2	20	0
29	chr8	36523116	36523135	-	52.5	>>	2	20	0
30	chr2	27771666	27771685	-	0.05875	>>	2	20	0
31	chr9	51333610	51333629	-	0.05902	>>	2	20	0
32	chr1	35713888	35713907	+	0.05902	>>	2	20	0
33	chr11	57783694	57783713	-	0.06	>>	2	20	0
34	chr6	94057464	94057483	+	0.06033	>>	2	20	0
35	chr16	23157002	23157021	-	0.0607	>>	2	20	0
36	chr11	102262359	102262378	-	0.06146	>>	2	20	0
37	chr9	71627181	71627200	+	0.06238	>>	2	20	0
38	chr13	109771756	109771775	+	0.063	>>	2	20	0
39	chr11	32340269	32340288	+	0.06323	>>	2	20	0
40	chr12	35192361	35192380	+	53.78	>>	3	20	0
41	chr2	48886252	48886271	-	53.7	>>	3	20	0
42	chr12	35192359	35192378	-	53.66	>>	3	20	0
43	chr8	102781112	102781131	-	53.5	>>	3	20	0
44	chr5	49961991	49962010	-	53.3	>>	3	20	0
45	chr9	26776356	26776375	-	53.12	>>	3	20	0
46	chr9	51152589	51152608	-	53.06	>>	3	20	0
47	chr8	58566264	58566283	+	52.88	>>	3	20	0
48	chr12	40837731	40837750	+	52.84	>>	3	20	0
49	chr8	36523116	36523135	-	52.5	>>	3	20	0
50	chr2	27771666	27771685	-	0.05875	>>	3	20	0
51	chr9	51333610	51333629	-	0.05902	>>	3	20	0
52	chr1	35713888	35713907	+	0.05902	>>	3	20	0
53	chr11	57783694	57783713	-	0.06	>>	3	20	0
54	chr6	94057464	94057483	+	0.06033	>>	3	20	0
55	chr16	23157002	23157021	-	0.0607	>>	3	20	0
56	chr11	102262359	102262378	-	0.06146	>>	3	20	0
57	chr9	71627181	71627200	+	0.06238	>>	3	20	0
58	chr13	109771756	109771775	+	0.063	>>	3	20	0
59	chr11	32340269	32340288	+	0.06323	>>	3	20	0
60	chr12	35192361	35192380	+	53.78	>>	4	20	0
61	chr2	48886252	48886271	-	53.7	>>	4	20	0
62	chr12	35192359	35192378	-	53.66	>>	4	20	0
63	chr8	102781112	102781131	-	53.5	>>	4	20	0
64	chr5	49961991	49962010	-	53.3	>>	4	20	0
65	chr9	26776356	26776375	-	53.12	>>	4	20	0
66	chr9	51152589	51152608	-	53.06	>>	4	20	0
67	chr8	58566264	58566283	+	52.88	>>	4	20	0
68	chr12	40837731	40837750	+	52.84	>>	4	20	0
69	chr8	36523116	36523135	-	52.5	>>	4	20	0
70	chr2	27771666	27771685	-	0.05875	>>	4	20	0
71	chr9	51333610	51333629	-	0.05902	>>	4	20	0
72	chr1	35713888	35713907	+	0.05902	>>	4	20	0
73	chr11	57783694	57783713	-	0.06	>>	4	20	0
74	chr6	94057464	94057483	+	0.06033	>>	4	20	0
75	chr16	23157002	23157021	-	0.0607	>>	4	20	0
76	chr11	102262359	102262378	-	0.06146	>>	4	20	0
77	chr9	71627181	71627200	+	0.06238	>>	4	20	0
78	chr13	109771756	109771775	+	0.063	>>	4	20	0
79	chr11	32340269	32340288	+	0.06323	>>	4	20	0
80	chr12	35192361	35192380	+	53.78	>>	1	20	1
81	chr2	48886252	48886271	-	53.7	>>	1	20	1
82	chr12	35192359	35192378	-	53.66	>>	1	20	1
83	chr8	102781112	102781131	-	53.5	>>	1	20	1
84	chr5	49961991	49962010	-	53.3	>>	1	20	1
85	chr9	26776356	26776375	-	53.12	>>	1	20	1
86	chr9	51152589	51152608	-	53.06	>>	1	20	1
87	chr8	58566264	58566283	+	52.88	>>	1	20	1
88	chr12	40837731	40837750	+	52.84	>>	1	20	1
89	chr8	36523116	36523135	-	52.5	>>	1	20	1
90	chr2	27771666	27771685	-	0.05875	>>	1	20	1
91	chr9	51333610	51333629	-	0.05902	>>	1	20	1
92	chr1	35713888	35713907	+	0.05902	>>	1	20	1
93	chr11	57783694	57783713	-	0.06	>>	1	20	1
94	chr6	94057464	94057483	+	0.06033	>>	1	20	1
95	chr16	23157002	23157021	-	0.0607	>>	1	20	1
96	chr11	102262359	102262378	-	0.06146	>>	1	20	1
97	chr9	71627181	71627200	+	0.06238	>>	1	20	1
98	chr13	109771756	109771775	+	0.063	>>	1	20	1
99	chr11	32340269	32340288	+	0.06323	>>	1	20	1
100	chr12	35192361	35192380	+	53.78	>>	2	20	1
101	chr2	48886252	48886271	-	53.7	>>	2	20	1
102	chr12	35192359	35192378	-	53.66	>>	2	20	1
103	chr8	102781112	102781131	-	53.5	>>	2	20	1
104	chr5	49961991	49962010	-	53.3	>>	2	20	1
105	chr9	26776356	26776375	-	53.12	>>	2	20	1
106	chr9	51152589	51152608	-	53.06	>>	2	20	1
107	chr8	58566264	58566283	+	52.88	>>	2	20	1
108	chr12	40837731	40837750	+	52.84	>>	2	20	1
109	chr8	36523116	36523135	-	52.5	>>	2	20	1
110	chr2	27771666	27771685	-	0.05875	>>	2	20	1
111	chr9	51333610	51333629	-	0.05902	>>	2	20	1
112	chr1	35713888	35713907	+	0.05902	>>	2	20	1
113	chr11	57783694	57783713	-	0.06	>>	2	20	1
114	chr6	94057464	94057483	+	0.06033	>>	2	20	1
115	chr16	23157002	23157021	-	0.0607	>>	2	20	1
116	chr11	102262359	102262378	-	0.06146	>>	2	20	1
117	chr9	71627181	71627200	+	0.06238	>>	2	20	1
118	chr13	109771756	109771775	+	0.063	>>	2	20	1
119	chr11	32340269	32340288	+	0.06323	>>	2	20	1
120	chr12	35192361	35192380	+	53.78	>>	3	20	1
121	chr2	48886252	48886271	-	53.7	>>	3	20	1
122	chr12	35192359	35192378	-	53.66	>>	3	20	1
123	chr8	102781112	102781131	-	53.5	>>	3	20	1
124	chr5	49961991	49962010	-	53.3	>>	3	20	1
125	chr9	26776356	26776375	-	53.12	>>	3	20	1
126	chr9	51152589	51152608	-	53.06	>>	3	20	1
127	chr8	58566264	58566283	+	52.88	>>	3	20	1
128	chr12	40837731	40837750	+	52.84	>>	3	20	1
129	chr8	36523116	36523135	-	52.5	>>	3	20	1
130	chr2	27771666	27771685	-	0.05875	>>	3	20	1
131	chr9	51333610	51333629	-	0.05902	>>	3	20	1
132	chr1	35713888	35713907	+	0.05902	>>	3	20	1
133	chr11	57783694	57783713	-	0.06	>>	3	20	1
134	chr6	94057464	94057483	+	0.06033	>>	3	20	1
135	chr16	23157002	23157021	-	0.0607	>>	3	20	1
136	chr11	102262359	102262378	-	0.06146	>>	3	20	1
137	chr9	71627181	71627200	+	0.06238	>>	3	20	1
138	chr13	109771756	109771775	+	0.063	>>	3	20	1
139	chr11	32340269	32340288	+	0.06323	>>	3	20	1
140	chr12	35192361	35192380	+	53.78	>>	4	20	1
141	chr2	48886252	48886271	-	53.7	>>	4	20	1
142	chr12	35192359	35192378	-	53.66	>>	4	20	1
143	chr8	102781112	102781131	-	53.5	>>	4	20	1
144	chr5	49961991	49962010	-	53.3	>>	4	20	1
145	chr9	26776356	26776375	-	53.12	>>	4	20	1
146	chr9	51152589	51152608	-	53.06	>>	4	20	1
147	chr8	58566264	58566283	+	52.88	>>	4	20	1
148	chr12	40837731	40837750	+	52.84	>>	4	20	1
149	chr8	36523116	36523135	-	52.5	>>	4	20	1
150	chr2	27771666	27771685	-	0.05875	>>	4	20	1
151	chr9	51333610	51333629	-	0.05902	>>	4	20	1
152	chr1	35713888	35713907	+	0.05902	>>	4	20	1
153	chr11	57783694	57783713	-	0.06	>>	4	20	1
154	chr6	94057464	94057483	+	0.06033	>>	4	20	1
155	chr16	23157002	23157021	-	0.0607	>>	4	20	1
156	chr11	102262359	102262378	-	0.06146	>>	4	20	1
157	chr9	71627181	71627200	+	0.06238	>>	4	20	1
158	chr13	109771756	109771775	+	0.063	>>	4	20	1
159	chr11	32340269	32340288	+	0.06323	>>	4	20	1
160	chr12	35192361	35192380	+	53.78	>>	1	20	2
161	chr2	48886252	48886271	-	53.7	>>	1	20	2
162	chr12	35192359	35192378	-	53.66	>>	1	20	2
163	chr8	102781112	102781131	-	53.5	>>	1	20	2
164	chr5	49961991	49962010	-	53.3	>>	1	20	2
165	chr9	26776356	26776375	-	53.12	>>	1	20	2
166	chr9	51152589	51152608	-	53.06	>>	1	20	2
